time, n, G, p,,,,,,,n: 64,time,p
5400,64,10,1,,,,,540,,,540,1
15164,128,10,1,,,,,1516.4,,,298.5,2
53927,256,10,1,,,,,5392.7,,,264,4
208852,512,10,1,,,,,20885.2,,,266.6,8
827429,1024,10,1,,,,,82742.9,,,362.3,16
3303775,2048,10,1,,,,,330377.5,,,508.6,32
2985,64,10,2,,,,,0,,,558.8,64
7993,128,10,2,,,,,0,,n:128,1516.4,1
27373,256,10,2,,,,,0,,,799.3,2
105255,512,10,2,,,,,0,,,515.4,4
416518,1024,10,2,,,,,0,,,386.3,8
1659172,2048,10,2,,,,,165917.2,,,415.4,16
2640,64,10,4,,,,,0,,,526.1,32
5154,128,10,4,,,,,0,,,582.6,64
14875,256,10,4,,,,,0,,n:256,5392.9,1
53914,512,10,4,,,,,0,,,2737.3,2
209430,1024,10,4,,,,,0,,,1487.5,4
831733,2048,10,4,,,,,83173.3,,,879,8
2666,64,10,8,,,,,0,,,660,16
3863,128,10,8,,,,,0,,,780.5,32
8790,256,10,8,,,,,0,,,637.8,64
28376,512,10,8,,,,,0,,n:512,20885.2,1
106279,1024,10,8,,,,,0,,,10525.5,2
416981,2048,10,8,,,,,41698.1,,,5391.4,4
3623,64,10,16,,,,,0,,,2837.6,8
4154,128,10,16,,,,,0,,,1647.6,16
6600,256,10,16,,,,,0,,,1524.1,32
16476,512,10,16,,,,,0,,,910.7,64
55644,1024,10,16,,,,,0,,n:1024,82742.9,1
211502,2048,10,16,,,,,21150.2,,,41651.8,2
5086,64,10,32,,,,,0,,,20943,4
5261,128,10,32,,,,,0,,,10627.9,8
7805,256,10,32,,,,,0,,,5564.4,16
15241,512,10,32,,,,,0,,,3304.9,32
33049,1024,10,32,,,,,0,,,1876.1,64
111487,2048,10,32,,,,,11148.7,,n:2048,330377.5,1
5588,64,10,64,,,,,0,,,165917.2,2
5826,128,10,64,,,,,0,,,83173.3,4
6378,256,10,64,,,,,0,,,41698.1,8
9107,512,10,64,,,,,0,,,21150.2,16
18761,1024,10,64,,,,,0,,,11148.7,32
58118,2048,10,64,,,,,5811.8,,,5811.8,64
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
